CustomerID,CustomerName,Age,Gender,City,ProductCategory,Price,Quantity,OrderDate,PaymentMode,Rating,SignupChannel
CUST1081,Ananya Gupta,48.0,M,Lucknow,Sports,16298.44,,18-06-2025,UPI ,5.0,
CUST1560,Priya Gupta,30.0,Male,Mumbai,Sports,22463.95,1.0,2025-02-09,UPI,5.0,Website
CUST1474,Ishaan Verma,44.0,M,Mumbai ,Toys,7326.2,1.0,2025-03-02,Cash on Delivery,1.0,App
CUST1106,Ritika Malhotra,64.0,M,Lucknow,Books,8888.41,2.0,2025-09-17,UPI,,App
CUST1212,Meera Joshi,53.0,F,Delhi,Sports,2279.5,2.0,2025-06-01,Debit Card,2.0,Referral
CUST1479,Arjun Joshi,42.0,,Kolkata,Clothing,7426.89,1.0,04-03-2025,Net Banking,5.0,App
CUST1483,Vivaan Mehta,40.0,,bangalore,Home & Kitchen,430.74,1.0,20/12/2025,Net Banking,2.0,Referral
CUST1145,Aditya Singh,59.0,M,Kolkata,Electronics,15186.61,3.0,19/08/2025,credit card,,Website
CUST1351,Anjali Patel,64.0,M,Ahmedabad,Grocery,24588.82,1.0,2025-04-06,Debit Card,4.0,Website
CUST1431,Nikhil Chopra,40.0,M,Bengaluru,Toys,17709.66,2.0,31-05-2025,COD,4.0,App
CUST1113,Riya Malhotra,29.0,F,Jaipur,Home & Kitchen,12581.52,,09/12/2025,Debit Card,4.0,
CUST1430,Ananya Kulkarni,24.0,F,Hyderabad,Beauty,24544.64,,27/11/2025,COD,4.0,Website
CUST1577,Rahul Singh,19.0,,Chennai,Toys,24859.17,1.0,03-11-2025,credit card,,App
CUST1146,Sanjay Reddy,51.0,F,Pune,Books,6352.85,1.0,14-01-2025,UPI,,App
CUST1131,Nikhil Desai,25.0,Male,delhi,Grocery,6928.86,2.0,17/03/2025,Debit Card,4.0,Website
CUST1102,Ananya Rao,,male,Mumbai ,Beauty,9615.47,2.0,29/09/2025,COD,6.0,App
CUST1390,Karan Mehta,,female,bangalore,Electronics,4144.34,3.0,2025-01-03,UPI,,App
CUST1372,Aman Desai,50.0,F,Pune,Electronics,16617.56,,11-11-2025,UPI,6.0,App
CUST1585,Nikhil Iyer,22.0,,Ahmedabad,Sports,1206.55,1.0,17-01-2025,Credit Card,,Website
CUST1082,Nikhil Pillai,52.0,male,Mumbai,Home & Kitchen,15834.35,1.0,27-04-2025,Debit Card,4.0,Website
CUST1011,Pooja Sharma,61.0,female,Jaipur,Books,19249.68,1.0,27/02/2025,UPI ,3.0,Website
CUST1170,Aman Kulkarni,39.0,M,bangalore,Books,15310.4,1.0,07/05/2025,Net Banking,4.0,Referral
CUST1049,Sanjay Sharma,23.0,Female,,Toys,4665.97,1.0,14/07/2025,Cash on Delivery,,Referral
CUST1407,Ishaan Malhotra,49.0,,bangalore,Beauty,19665.52,1.0,09-05-2025,Credit Card,4.0,Website
CUST1461,Sanjay Reddy,45.0,male,Pune,Toys,13624.51,1.0,2025-12-01,Cash on Delivery,3.0,Referral
CUST1343,Dev Bose,48.0,,Delhi,Grocery,18302.79,1.0,23/02/2025,credit card,6.0,Website
CUST1348,Yash Nair,36.0,Female,,Electronics,17311.28,1.0,15-04-2025,Credit Card,5.0,Website
CUST1557,Priya Nair,59.0,female,Mumbai,Home & Kitchen,3589.38,1.0,03-05-2025,Debit Card,,
CUST1537,DIYA PILLAI,,Female,Mumbai,Home & Kitchen,10741.35,,14/12/2025,credit card,2.0,
CUST1499,Anjali Bose,26.0,Male,Kolkata,Clothing,8247.86,3.0,06/02/2025,COD,4.0,App
CUST1046,Arjun Kulkarni,47.0,Male,Hyderabad,Sports,9828.5,,27-10-2025,Credit Card,4.0,Website
CUST1448,VIKRAM VERMA,38.0,male,Delhi,Beauty,12634.68,1.0,2025-03-20,UPI ,,App
CUST1556,Aryan Mehta,65.0,male,bangalore,Beauty,22216.25,1.0,16/07/2025,COD,1.0,Referral
CUST1098,Ritika Reddy,26.0,M,delhi,Grocery,2881.67,,2025-01-14,Credit Card,5.0,App
CUST1181,Rahul Joshi,62.0,Male,bangalore,Clothing,11715.07,1.0,27-07-2025,Net Banking,2.0,
CUST1234,Dev Chopra,53.0,female,Ahmedabad,Sports,17164.71,2.0,30/12/2025,COD,3.0,Website
CUST1339,Yash Menon,56.0,female,bangalore,Beauty,17940.45,1.0,19-02-2025,Cash on Delivery,1.0,Referral
CUST1216,Sneha Rao,49.0,Male,Delhi,Sports,7007.65,1.0,2025-09-05,credit card,5.0,App
CUST1437,Meera Menon,63.0,Male,Hyderabad,Toys,23220.83,,10/02/2025,Credit Card,5.0,App
CUST1465,Aarav Joshi,23.0,Female,Jaipur,Toys,17843.68,1.0,05/04/2025,COD,,App
CUST1038,Nikhil Kapoor,53.0,Female,Kolkata,Sports,16981.35,1.0,12-11-2025,Net Banking,4.0,App
CUST1059,Sneha Singh,43.0,M,bangalore,Beauty,11910.52,2.0,26/06/2025,credit card,5.0,
CUST1128,Ishaan Menon,28.0,Male,Kolkata,Beauty,16957.62,1.0,16-08-2025,Net Banking,,App
CUST1515,Anjali Sharma,36.0,Male,Delhi,Clothing,21308.41,1.0,2025-05-10,Net Banking,5.0,Referral
