CustomerID,CustomerName,Age,Gender,City,ProductCategory,Price,Quantity,OrderDate,PaymentMode,Rating,SignupChannel,TotalAmount
CUST1081,Ananya Gupta,48,Male,Lucknow,Sports,16298.44,1,2025-06-18,UPI,5,Unknown,16298.44
CUST1560,Priya Gupta,30,Male,Mumbai,Sports,22463.95,1,2025-09-02,UPI,5,Website,22463.95
CUST1474,Ishaan Verma,44,Male,Mumbai,Toys,7326.2,1,2025-02-03,Cash On Delivery,1,App,7326.2
CUST1106,Ritika Malhotra,64,Male,Lucknow,Books,8888.41,2,2025-09-17,UPI,4,App,17776.82
CUST1212,Meera Joshi,53,Female,Delhi,Sports,2279.5,2,2025-01-06,Debit Card,2,Referral,4559.0
CUST1479,Arjun Joshi,42,Unknown,Kolkata,Clothing,7426.89,1,2025-03-04,Net Banking,5,App,7426.89
CUST1483,Vivaan Mehta,40,Unknown,Bangalore,Home & Kitchen,430.74,1,2025-12-20,Net Banking,2,Referral,430.74
CUST1145,Aditya Singh,59,Male,Kolkata,Electronics,15186.61,3,2025-08-19,Credit Card,4,Website,45559.83
CUST1351,Anjali Patel,64,Male,Ahmedabad,Grocery,24588.82,1,2025-06-04,Debit Card,4,Website,24588.82
CUST1431,Nikhil Chopra,40,Male,Bengaluru,Toys,17709.66,2,2025-05-31,Cash On Delivery,4,App,35419.32
CUST1113,Riya Malhotra,29,Female,Jaipur,Home & Kitchen,12581.52,1,2025-12-09,Debit Card,4,Unknown,12581.52
CUST1430,Ananya Kulkarni,24,Female,Hyderabad,Beauty,24544.64,1,2025-11-27,Cash On Delivery,4,Website,24544.64
CUST1577,Rahul Singh,19,Unknown,Chennai,Toys,24859.17,1,2025-11-03,Credit Card,4,App,24859.17
CUST1146,Sanjay Reddy,51,Female,Pune,Books,6352.85,1,2025-01-14,UPI,4,App,6352.85
CUST1131,Nikhil Desai,25,Male,Delhi,Grocery,6928.86,2,2025-03-17,Debit Card,4,Website,13857.72
CUST1102,Ananya Rao,43,Male,Mumbai,Beauty,9615.47,2,2025-09-29,Cash On Delivery,4,App,19230.94
CUST1390,Karan Mehta,43,Female,Bangalore,Electronics,4144.34,3,2025-03-01,UPI,4,App,12433.02
CUST1372,Aman Desai,50,Female,Pune,Electronics,16617.56,1,2025-11-11,UPI,4,App,16617.56
CUST1585,Nikhil Iyer,22,Unknown,Ahmedabad,Sports,1206.55,1,2025-01-17,Credit Card,4,Website,1206.55
CUST1082,Nikhil Pillai,52,Male,Mumbai,Home & Kitchen,15834.35,1,2025-04-27,Debit Card,4,Website,15834.35
